col,ユーザー名,image,卒業予定時期,評価,,,譲った数,もらった数
FALSE,NaNa1998,user_2.jpg,2023/03,21,3,8,16,16
FALSE,やまもと,user_10.jpg,2023/03,16,0,2,4,14
FALSE,Nakayama,user_1.jpg,2023/09,,,,,
FALSE,森川 晃司,user_3.jpg,2024/03,,,,,
FALSE,あい,user_4.jpg,2024/03,,,,,
FALSE,come_da,user_5.jpg,2024/03,,,,,
FALSE,うちだ　みなみ,user_6.jpg,2024/03,,,,,
FALSE,ケンタロー,user_7.jpg,2025/03,,,,,
FALSE,MIX JAPAN,user_8.jpg,2025/03,,,,,
FALSE,えりか@アカペラ,user_9.jpg,2026/03,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,このへんはあり得なさそうな数じゃなければ適当で良いです,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
FALSE,,,,,,,,
